name,owner,language,stars,forks,createdAt,updatedAt,topics,license,description
public-apis,public-apis,Python,338978,35766,2016-03-20T23:49:42Z,2025-05-10T21:03:03Z,"api, apis, dataset, development, free, list, lists, open-source, public, public-api, public-apis, resources, software",MIT License,A collective list of free APIs
system-design-primer,donnemartin,Python,298856,49604,2017-02-26T16:15:28Z,2025-05-10T22:10:10Z,"design, design-patterns, design-system, development, interview, interview-practice, interview-questions, programming, python, system, web, web-application, webapp",Other,Learn how to design large-scale systems. Prep for the system design interview.  Includes Anki flashcards.
awesome-python,vinta,Python,242989,25654,2014-06-27T21:00:06Z,2025-05-10T22:11:58Z,"awesome, collections, python, python-framework, python-library, python-resources",Other,"An opinionated list of awesome Python frameworks, libraries, software and resources."
Python,TheAlgorithms,Python,200336,46725,2016-07-16T09:44:01Z,2025-05-10T21:24:55Z,"algorithm, algorithm-competitions, algorithms-implemented, algos, community-driven, education, hacktoberfest, interview, learn, practice, python, searches, sorting-algorithms, sorts",MIT License,All Algorithms implemented in Python
AutoGPT,Significant-Gravitas,Python,175189,45693,2023-03-16T09:21:07Z,2025-05-10T21:47:38Z,"ai, artificial-intelligence, autonomous-agents, gpt-4, llama-api, openai, python",Other,"AutoGPT is the vision of accessible AI for everyone, to use and to build on. Our mission is to provide the tools, so that you can focus on what matters."
stable-diffusion-webui,AUTOMATIC1111,Python,152239,28324,2022-08-22T14:05:26Z,2025-05-10T21:57:10Z,"ai, ai-art, deep-learning, diffusion, gradio, image-generation, image2image, img2img, pytorch, stable-diffusion, text2image, torch, txt2img, unstable, upscaling, web",GNU Affero General Public License v3.0,Stable Diffusion web UI
transformers,huggingface,Python,144128,28899,2018-10-29T13:56:00Z,2025-05-10T22:08:23Z,"bert, deep-learning, flax, hacktoberfest, jax, language-model, language-models, machine-learning, model-hub, natural-language-processing, nlp, nlp-library, pretrained-models, python, pytorch, pytorch-transformers, seq2seq, speech-recognition, tensorflow, transformer",Apache License 2.0,"🤗 Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX."
youtube-dl,ytdl-org,Python,135591,10324,2010-10-31T14:35:07Z,2025-05-10T21:29:02Z,,The Unlicense,Command-line program to download videos from YouTube.com and other video sites
yt-dlp,yt-dlp,Python,111307,8750,2020-10-26T04:22:55Z,2025-05-10T22:08:25Z,"python, sponsorblock, video-downloader, youtube-dl, youtube-dlc, youtube-downloader, yt-dlp",The Unlicense,A feature-rich command-line audio/video downloader
HelloGitHub,521xueweihan,Python,108016,10038,2016-05-04T06:24:11Z,2025-05-10T21:53:43Z,"awesome, github, hellogithub, python",No license,":octocat: 分享 GitHub 上有趣、入门级的开源项目。Share interesting, entry-level open source projects on GitHub."
DeepSeek-V3,deepseek-ai,Python,96619,15712,2024-12-26T09:52:40Z,2025-05-10T21:24:51Z,,MIT License,
thefuck,nvbn,Python,91829,3687,2015-04-08T15:08:04Z,2025-05-10T19:47:54Z,"python, shell",MIT License,Magnificent app which corrects your previous console command.
pytorch,pytorch,Python,89821,24109,2016-08-13T05:26:41Z,2025-05-10T22:08:21Z,"autograd, deep-learning, gpu, machine-learning, neural-network, numpy, python, tensor",Other,Tensors and Dynamic neural networks in Python with strong GPU acceleration
fastapi,fastapi,Python,84457,7322,2018-12-08T08:21:47Z,2025-05-10T21:12:38Z,"api, async, asyncio, fastapi, framework, json, json-schema, openapi, openapi3, pydantic, python, python-types, python3, redoc, rest, starlette, swagger, swagger-ui, uvicorn, web",MIT License,"FastAPI framework, high performance, easy to learn, fast to code, ready for production"
django,django,Python,83500,32560,2012-04-28T02:47:18Z,2025-05-10T21:25:00Z,"apps, django, framework, models, orm, python, templates, views, web","BSD 3-Clause ""New"" or ""Revised"" License",The Web framework for perfectionists with deadlines.
whisper,openai,Python,81443,9786,2022-09-16T20:02:54Z,2025-05-10T22:04:23Z,,MIT License,Robust Speech Recognition via Large-Scale Weak Supervision
core,home-assistant,Python,78846,33607,2013-09-17T07:29:48Z,2025-05-10T22:08:19Z,"asyncio, hacktoberfest, home-automation, internet-of-things, iot, mqtt, python, raspberry-pi",Apache License 2.0,:house_with_garden: Open source home automation that puts local control and privacy first.
models,tensorflow,Python,77511,45607,2016-02-05T01:15:20Z,2025-05-10T17:55:56Z,,Other,Models and examples built with TensorFlow
manim,3b1b,Python,77325,6682,2015-03-22T18:50:58Z,2025-05-10T21:25:55Z,"3b1b-videos, animation, explanatory-math-videos, python",MIT License,Animation engine for explanatory math videos
ComfyUI,comfyanonymous,Python,76460,8367,2023-01-17T03:15:56Z,2025-05-10T22:07:48Z,"pytorch, stable-diffusion",GNU General Public License v3.0,"The most powerful and modular diffusion model GUI, api and backend with a graph/nodes interface."
devops-exercises,bregman-arie,Python,75795,16891,2019-10-03T17:31:21Z,2025-05-10T22:02:45Z,"ansible, aws, azure, coding, containers, devops, docker, git, interview, interview-questions, kubernetes, linux, openstack, production-engineer, prometheus, python, sql, sre, terraform",Other,"Linux, Jenkins, AWS, SRE, Prometheus, Docker, Python, Ansible, Git, Kubernetes, Terraform, OpenStack, SQL, NoSQL, Azure, GCP, DNS, Elastic, Network, Virtualization. DevOps Interview Questions"
funNLP,fighting41love,Python,73126,14845,2018-08-21T11:20:39Z,2025-05-10T20:41:55Z,,No license,"中英文敏感词、语言检测、中外手机/电话归属地/运营商查询、名字推断性别、手机号抽取、身份证抽取、邮箱抽取、中日文人名库、中文缩写库、拆字词典、词汇情感值、停用词、反动词表、暴恐词表、繁简体转换、英文模拟中文发音、汪峰歌词生成器、职业名称词库、同义词库、反义词库、否定词库、汽车品牌词库、汽车零件词库、连续英文切割、各种中文词向量、公司名字大全、古诗词库、IT词库、财经词库、成语词库、地名词库、历史名人词库、诗词词库、医学词库、饮食词库、法律词库、汽车词库、动物词库、中文聊天语料、中文谣言数据、百度中文问答数据集、句子相似度匹配算法集合、bert资源、文本生成&摘要相关工具、cocoNLP信息抽取工具、国内电话号码正则匹配、清华大学XLORE:中英文跨语言百科知识图谱、清华大学人工智能技术系列报告、自然语言生成、NLU太难了系列、自动对联数据及机器人、用户名黑名单列表、罪名法务名词及分类模型、微信公众号语料、cs224n深度学习自然语言处理课程、中文手写汉字识别、中文自然语言处理 语料/数据集、变量命名神器、分词语料库+代码、任务型对话英文数据集、ASR 语音数据集 + 基于深度学习的中文语音识别系统、笑声检测器、Microsoft多语言数字/单位/如日期时间识别包、中华新华字典数据库及api(包括常用歇后语、成语、词语和汉字)、文档图谱自动生成、SpaCy 中文模型、Common Voice语音识别数据集新版、神经网络关系抽取、基于bert的命名实体识别、关键词(Keyphrase)抽取包pke、基于医疗领域知识图谱的问答系统、基于依存句法与语义角色标注的事件三元组抽取、依存句法分析4万句高质量标注数据、cnocr：用来做中文OCR的Python3包、中文人物关系知识图谱项目、中文nlp竞赛项目及代码汇总、中文字符数据、speech-aligner: 从“人声语音”及其“语言文本”产生音素级别时间对齐标注的工具、AmpliGraph: 知识图谱表示学习(Python)库：知识图谱概念链接预测、Scattertext 文本可视化(python)、语言/知识表示工具：BERT & ERNIE、中文对比英文自然语言处理NLP的区别综述、Synonyms中文近义词工具包、HarvestText领域自适应文本挖掘工具（新词发现-情感分析-实体链接等）、word2word：(Python)方便易用的多语言词-词对集：62种语言/3,564个多语言对、语音识别语料生成工具：从具有音频/字幕的在线视频创建自动语音识别(ASR)语料库、构建医疗实体识别的模型（包含词典和语料标注）、单文档非监督的关键词抽取、Kashgari中使用gpt-2语言模型、开源的金融投资数据提取工具、文本自动摘要库TextTeaser: 仅支持英文、人民日报语料处理工具集、一些关于自然语言的基本模型、基于14W歌曲知识库的问答尝试--功能包括歌词接龙and已知歌词找歌曲以及歌曲歌手歌词三角关系的问答、基于Siamese bilstm模型的相似句子判定模型并提供训练数据集和测试数据集、用Transformer编解码模型实现的根据Hacker News文章标题自动生成评论、用BERT进行序列标记和文本分类的模板代码、LitBank：NLP数据集——支持自然语言处理和计算人文学科任务的100部带标记英文小说语料、百度开源的基准信息抽取系统、虚假新闻数据集、Facebook: LAMA语言模型分析，提供Transformer-XL/BERT/ELMo/GPT预训练语言模型的统一访问接口、CommonsenseQA：面向常识的英文QA挑战、中文知识图谱资料、数据及工具、各大公司内部里大牛分享的技术文档 PDF 或者 PPT、自然语言生成SQL语句（英文）、中文NLP数据增强（EDA）工具、英文NLP数据增强工具 、基于医药知识图谱的智能问答系统、京东商品知识图谱、基于mongodb存储的军事领域知识图谱问答项目、基于远监督的中文关系抽取、语音情感分析、中文ULMFiT-情感分析-文本分类-语料及模型、一个拍照做题程序、世界各国大规模人名库、一个利用有趣中文语料库 qingyun 训练出来的中文聊天机器人、中文聊天机器人seqGAN、省市区镇行政区划数据带拼音标注、教育行业新闻语料库包含自动文摘功能、开放了对话机器人-知识图谱-语义理解-自然语言处理工具及数据、中文知识图谱：基于百度百科中文页面-抽取三元组信息-构建中文知识图谱、masr: 中文语音识别-提供预训练模型-高识别率、Python音频数据增广库、中文全词覆盖BERT及两份阅读理解数据、ConvLab：开源多域端到端对话系统平台、中文自然语言处理数据集、基于最新版本rasa搭建的对话系统、基于TensorFlow和BERT的管道式实体及关系抽取、一个小型的证券知识图谱/知识库、复盘所有NLP比赛的TOP方案、OpenCLaP：多领域开源中文预训练语言模型仓库、UER：基于不同语料+编码器+目标任务的中文预训练模型仓库、中文自然语言处理向量合集、基于金融-司法领域(兼有闲聊性质)的聊天机器人、g2pC：基于上下文的汉语读音自动标记模块、Zincbase 知识图谱构建工具包、诗歌质量评价/细粒度情感诗歌语料库、快速转化「中文数字」和「阿拉伯数字」、百度知道问答语料库、基于知识图谱的问答系统、jieba_fast 加速版的jieba、正则表达式教程、中文阅读理解数据集、基于BERT等最新语言模型的抽取式摘要提取、Python利用深度学习进行文本摘要的综合指南、知识图谱深度学习相关资料整理、维基大规模平行文本语料、StanfordNLP 0.2.0：纯Python版自然语言处理包、NeuralNLP-NeuralClassifier：腾讯开源深度学习文本分类工具、端到端的封闭域对话系统、中文命名实体识别：NeuroNER vs. BertNER、新闻事件线索抽取、2019年百度的三元组抽取比赛：“科学空间队”源码、基于依存句法的开放域文本知识三元组抽取和知识库构建、中文的GPT2训练代码、ML-NLP - 机器学习(Machine Learning)NLP面试中常考到的知识点和代码实现、nlp4han:中文自然语言处理工具集(断句/分词/词性标注/组块/句法分析/语义分析/NER/N元语法/HMM/代词消解/情感分析/拼写检查、XLM：Facebook的跨语言预训练语言模型、用基于BERT的微调和特征提取方法来进行知识图谱百度百科人物词条属性抽取、中文自然语言处理相关的开放任务-数据集-当前最佳结果、CoupletAI - 基于CNN+Bi-LSTM+Attention 的自动对对联系统、抽象知识图谱、MiningZhiDaoQACorpus - 580万百度知道问答数据挖掘项目、brat rapid annotation tool: 序列标注工具、大规模中文知识图谱数据：1.4亿实体、数据增强在机器翻译及其他nlp任务中的应用及效果、allennlp阅读理解:支持多种数据和模型、PDF表格数据提取工具 、 Graphbrain：AI开源软件库和科研工具，目的是促进自动意义提取和文本理解以及知识的探索和推断、简历自动筛选系统、基于命名实体识别的简历自动摘要、中文语言理解测评基准，包括代表性的数据集&基准模型&语料库&排行榜、树洞 OCR 文字识别 、从包含表格的扫描图片中识别表格和文字、语声迁移、Python口语自然语言处理工具集(英文)、 similarity：相似度计算工具包，java编写、海量中文预训练ALBERT模型 、Transformers 2.0 、基于大规模音频数据集Audioset的音频增强 、Poplar：网页版自然语言标注工具、图片文字去除，可用于漫画翻译 、186种语言的数字叫法库、Amazon发布基于知识的人-人开放领域对话数据集 、中文文本纠错模块代码、繁简体转换 、 Python实现的多种文本可读性评价指标、类似于人名/地名/组织机构名的命名体识别数据集 、东南大学《知识图谱》研究生课程(资料)、. 英文拼写检查库 、 wwsearch是企业微信后台自研的全文检索引擎、CHAMELEON：深度学习新闻推荐系统元架构 、 8篇论文梳理BERT相关模型进展与反思、DocSearch：免费文档搜索引擎、 LIDA：轻量交互式对话标注工具 、aili - the fastest in-memory index in the East 东半球最快并发索引 、知识图谱车音工作项目、自然语言生成资源大全 、中日韩分词库mecab的Python接口库、中文文本摘要/关键词提取、汉字字符特征提取器 (featurizer)，提取汉字的特征（发音特征、字形特征）用做深度学习的特征、中文生成任务基准测评 、中文缩写数据集、中文任务基准测评 - 代表性的数据集-基准(预训练)模型-语料库-baseline-工具包-排行榜、PySS3：面向可解释AI的SS3文本分类器机器可视化工具 、中文NLP数据集列表、COPE - 格律诗编辑程序、doccano：基于网页的开源协同多语言文本标注工具 、PreNLP：自然语言预处理库、简单的简历解析器，用来从简历中提取关键信息、用于中文闲聊的GPT2模型：GPT2-chitchat、基于检索聊天机器人多轮响应选择相关资源列表(Leaderboards、Datasets、Papers)、(Colab)抽象文本摘要实现集锦(教程 、词语拼音数据、高效模糊搜索工具、NLP数据增广资源集、微软对话机器人框架 、 GitHub Typo Corpus：大规模GitHub多语言拼写错误/语法错误数据集、TextCluster：短文本聚类预处理模块 Short text cluster、面向语音识别的中文文本规范化、BLINK：最先进的实体链接库、BertPunc：基于BERT的最先进标点修复模型、Tokenizer：快速、可定制的文本词条化库、中文语言理解测评基准，包括代表性的数据集、基准(预训练)模型、语料库、排行榜、spaCy 医学文本挖掘与信息提取 、 NLP任务示例项目代码集、 python拼写检查库、chatbot-list - 行业内关于智能客服、聊天机器人的应用和架构、算法分享和介绍、语音质量评价指标(MOSNet, BSSEval, STOI, PESQ, SRMR)、 用138GB语料训练的法文RoBERTa预训练语言模型 、BERT-NER-Pytorch：三种不同模式的BERT中文NER实验、无道词典 - 有道词典的命令行版本，支持英汉互查和在线查询、2019年NLP亮点回顾、 Chinese medical dialogue data 中文医疗对话数据集 、最好的汉字数字(中文数字)-阿拉伯数字转换工具、 基于百科知识库的中文词语多词义/义项获取与特定句子词语语义消歧、awesome-nlp-sentiment-analysis - 情感分析、情绪原因识别、评价对象和评价词抽取、LineFlow：面向所有深度学习框架的NLP数据高效加载器、中文医学NLP公开资源整理 、MedQuAD：(英文)医学问答数据集、将自然语言数字串解析转换为整数和浮点数、Transfer Learning in Natural Language Processing (NLP) 、面向语音识别的中文/英文发音辞典、Tokenizers：注重性能与多功能性的最先进分词器、CLUENER 细粒度命名实体识别 Fine Grained Named Entity Recognition、 基于BERT的中文命名实体识别、中文谣言数据库、NLP数据集/基准任务大列表、nlp相关的一些论文及代码, 包括主题模型、词向量(Word Embedding)、命名实体识别(NER)、文本分类(Text Classificatin)、文本生成(Text Generation)、文本相似性(Text Similarity)计算等，涉及到各种与nlp相关的算法，基于keras和tensorflow 、Python文本挖掘/NLP实战示例、 Blackstone：面向非结构化法律文本的spaCy pipeline和NLP模型通过同义词替换实现文本“变脸” 、中文 预训练 ELECTREA 模型: 基于对抗学习 pretrain Chinese Model 、albert-chinese-ner - 用预训练语言模型ALBERT做中文NER 、基于GPT2的特定主题文本生成/文本增广、开源预训练语言模型合集、多语言句向量包、编码、标记和实现：一种可控高效的文本生成方法、 英文脏话大列表 、attnvis：GPT2、BERT等transformer语言模型注意力交互可视化、CoVoST：Facebook发布的多语种语音-文本翻译语料库，包括11种语言(法语、德语、荷兰语、俄语、西班牙语、意大利语、土耳其语、波斯语、瑞典语、蒙古语和中文)的语音、文字转录及英文译文、Jiagu自然语言处理工具 - 以BiLSTM等模型为基础，提供知识图谱关系抽取 中文分词 词性标注 命名实体识别 情感分析 新词发现 关键词 文本摘要 文本聚类等功能、用unet实现对文档表格的自动检测，表格重建、NLP事件提取文献资源列表 、 金融领域自然语言处理研究资源大列表、CLUEDatasetSearch - 中英文NLP数据集：搜索所有中文NLP数据集，附常用英文NLP数据集 、medical_NER - 中文医学知识图谱命名实体识别 、(哈佛)讲因果推理的免费书、知识图谱相关学习资料/数据集/工具资源大列表、Forte：灵活强大的自然语言处理pipeline工具集 、Python字符串相似性算法库、PyLaia：面向手写文档分析的深度学习工具包、TextFooler：针对文本分类/推理的对抗文本生成模块、Haystack：灵活、强大的可扩展问答(QA)框架、中文关键短语抽取工具"
screenshot-to-code,abi,Python,69884,8623,2023-11-14T17:53:32Z,2025-05-10T20:59:53Z,,MIT License,Drop in a screenshot and convert it to clean code (HTML/Tailwind/React/Vue)
flask,pallets,Python,69505,16387,2010-04-06T11:11:59Z,2025-05-10T21:26:02Z,"flask, jinja, pallets, python, web-framework, werkzeug, wsgi","BSD 3-Clause ""New"" or ""Revised"" License",The Python micro framework for building web applications.
d2l-zh,d2l-ai,Python,69136,11609,2017-08-23T04:40:24Z,2025-05-10T18:30:54Z,"book, chinese, computer-vision, deep-learning, machine-learning, natural-language-processing, notebook, python",Apache License 2.0,《动手学深度学习》：面向中文读者、能运行、可讨论。中英文版被70多个国家的500多所大学用于教学。
gpt_academic,binary-husky,Python,68426,8344,2023-03-20T09:05:13Z,2025-05-10T22:10:11Z,"academic, chatglm-6b, chatgpt, gpt-4, large-language-models",GNU General Public License v3.0,"为GPT/GLM等LLM大语言模型提供实用化交互接口，特别优化论文阅读/润色/写作体验，模块化设计，支持自定义快捷按钮&函数插件，支持Python和C++等项目剖析&自译解功能，PDF/LaTex论文翻译&总结功能，支持并行问询多种LLM模型，支持chatglm3等本地模型。接入通义千问, deepseekcoder, 讯飞星火, 文心一言, llama2, rwkv, claude2, moss等。"
awesome-machine-learning,josephmisiti,Python,67968,14891,2014-07-15T19:11:19Z,2025-05-10T20:25:37Z,,Other,"A curated list of awesome Machine Learning frameworks, libraries and software."
cpython,python,Python,66885,31850,2017-02-10T19:23:51Z,2025-05-10T22:08:21Z,,Other,The Python programming language
Deep-Live-Cam,hacksider,Python,65930,9165,2023-09-24T13:19:31Z,2025-05-10T22:06:03Z,"ai, ai-deep-fake, ai-face, ai-webcam, artificial-intelligence, deep-fake, deepfake, deepfake-webcam, faceswap, fake-webcam, gan, real-time-deepfake, realtime, realtime-deepfake, realtime-face-changer, video-deepfake, webcam, webcamera",GNU Affero General Public License v3.0,real time face swap and one-click video deepfake with only a single image
PayloadsAllTheThings,swisskyrepo,Python,65300,15333,2016-10-18T07:29:07Z,2025-05-10T22:08:21Z,"bounty, bugbounty, bypass, cheatsheet, enumeration, hacking, hacktoberfest, methodology, payload, payloads, penetration-testing, pentest, privilege-escalation, redteam, security, vulnerability, web-application",MIT License,A list of useful payloads and bypass for Web Application Security and Pentest/CTF
ansible,ansible,Python,64960,24019,2012-03-06T14:58:02Z,2025-05-10T21:22:33Z,"ansible, hacktoberfest, python",GNU General Public License v3.0,"Ansible is a radically simple IT automation platform that makes your applications and systems easier to deploy and maintain. Automate everything from code deployment to network configuration to cloud management, in a language that approaches plain English, using SSH, with no agents to install on remote systems. https://docs.ansible.com."
sherlock,sherlock-project,Python,64298,7453,2018-12-24T14:30:48Z,2025-05-10T22:02:14Z,"cli, cti, cybersecurity, forensics, hacktoberfest, information-gathering, infosec, linux, osint, pentesting, python, python3, reconnaissance, redteam, sherlock, tools",MIT License,Hunt down social media accounts by username across social networks
gpt4free,xtekky,Python,64198,13632,2023-03-29T17:00:43Z,2025-05-10T18:57:01Z,"chatbot, chatbots, chatgpt, chatgpt-4, chatgpt-api, chatgpt-free, chatgpt4, deepseek, deepseek-api, deepseek-r1, gpt, gpt-4, gpt-4o, gpt4, gpt4-api, language-model, openai, openai-api, openai-chatgpt, reverse-engineering",GNU General Public License v3.0,"The official gpt4free repository | various collection of powerful language models | o4, o3 and deepseek r1, gpt-4.1, gemini 2.5"
keras,keras-team,Python,62972,19579,2015-03-28T00:35:42Z,2025-05-10T21:57:06Z,"data-science, deep-learning, jax, machine-learning, neural-networks, python, pytorch, tensorflow",Apache License 2.0,Deep Learning for humans
scikit-learn,scikit-learn,Python,61989,25817,2010-08-17T09:43:38Z,2025-05-10T20:35:12Z,"data-analysis, data-science, machine-learning, python, statistics","BSD 3-Clause ""New"" or ""Revised"" License",scikit-learn: machine learning in Python
new-pac,Alvin9999,Python,61783,9946,2016-03-23T08:43:36Z,2025-05-10T22:08:20Z,"brook, clash, fanqiang, free-ss, free-ssr, hysteria, naiveproxy, shadowsocks, shadowsocksr, sing-box, ss, ssr, trojan, v2ray, vless, vmess, vpn, xray, youtube",No license,翻墙-科学上网、自由上网、免费科学上网、免费翻墙、fanqiang、油管youtube/视频下载、软件、VPN、一键翻墙浏览器，vps一键搭建翻墙服务器脚本/教程，免费shadowsocks/ss/ssr/v2ray/goflyway账号/节点，翻墙梯子，电脑、手机、iOS、安卓、windows、Mac、Linux、路由器翻墙、科学上网、youtube视频下载、youtube油管镜像/免翻墙网站、美区apple id共享账号、翻墙-科学上网-梯子
annotated_deep_learning_paper_implementations,labmlai,Python,60538,6110,2020-08-25T02:29:34Z,2025-05-10T17:12:41Z,"attention, deep-learning, deep-learning-tutorial, gan, literate-programming, lora, machine-learning, neural-networks, optimizers, pytorch, reinforcement-learning, transformer, transformers",MIT License,"🧑‍🏫 60+ Implementations/tutorials of deep learning papers with side-by-side notes 📝; including transformers (original, xl, switch, feedback, vit, ...), optimizers (adam, adabelief, sophia, ...), gans(cyclegan, stylegan2, ...), 🎮 reinforcement learning (ppo, dqn), capsnet, distillation, ... 🧠"
langflow,langflow-ai,Python,60109,6307,2023-02-08T22:28:03Z,2025-05-10T22:10:12Z,"agents, chatgpt, generative-ai, large-language-models, multiagent, react-flow",MIT License,Langflow is a powerful tool for building and deploying AI-powered agents and workflows.
